sno,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit
203,Northern,Ladakh,Kargil,Kargil War Memorial,War Memorial,24,1.0,4.8,0,No,None,Historical,Yes,0.011,All
204,Northern,Ladakh,Diskit,Diskit Monastery,Monastery,1351,1.0,4.7,20,No,None,Religious,No,0.015,Morning
205,Northern,Jammu and Kashmir,Kishtwar,Kishtwar National Park,National Park,1981,3.0,4.3,100,No,None,Wildlife,Yes,0.01,All
206,Northern,Ladakh,Hemis,Hemis National Park,National Park,1981,4.0,4.4,20,No,None,Wildlife,Yes,0.02,All
207,Northern,Ladakh,Dras,Dras War Memorial,War Memorial,Unknown,1.0,4.8,0,No,None,Historical,Yes,0.012,All
208,Northern,Ladakh,Leh,Magnetic Hill,Gravity Hill,Unknown,0.5,3.7,0,Yes,None,Nature,Yes,0.1,All
209,Northern,Ladakh,Leh,Khardung La Pass,Hill,Unknown,1.0,4.5,0,Yes,None,Adventure,Yes,0.05,Afternoon
210,Northern,Ladakh,Leh,Thiksey Monastery,Monastery,1430,1.5,4.7,30,Yes,None,Religious,No,0.05,All
211,Central,Uttar Pradesh,Vrindavan,Prem Mandir,Temple,2012,1.5,4.8,0,Yes,None,Religious,Yes,0.49,Evening
212,Central,Uttar Pradesh,Porbandar,Kirti Mandir,Memorial,1950,1.0,4.8,0,Yes,None,Historical,Yes,0.03,Morning
213,Central,Uttar Pradesh,Mathura,Nand Gaon,Village,Unknown,1.0,4.1,0,Yes,None,Cultural,Yes,0.01,Morning
214,Central,Uttar Pradesh,Mathura,Barsana Mandir,Temple,Unknown,1.0,4.8,0,Yes,None,Religious,Yes,0.1,Morning
215,Eastern,West Bengal,Darjeeling,Tiger Hill,Sunrise Point,Unknown,1.0,4.5,0,No,None,Nature,Yes,0.025,All
216,Eastern,West Bengal,Siliguri,Jaldapara National Park,Wildlife Sanctuary,1941,3.0,4.4,250,Yes,None,Wildlife,Yes,0.035,All
217,Eastern,West Bengal,Sundarbans,Sundarbans National Park,National Park,1984,4.0,4.4,60,No,None,Wildlife,Yes,0.065,All
218,Eastern,West Bengal,Digha,Digha Beach,Beach,Unknown,1.5,4.5,0,No,None,Recreational,Yes,0.09,Morning
219,Eastern,West Bengal,Murshidabad,Hazarduari Palace,Palace,1837,1.5,4.5,10,Yes,Friday,Historical,Yes,0.18,Morning
220,Eastern,West Bengal,Bolpur,Kankalitala Temple,Temple,Unknown,0.5,4.7,0,Yes,None,Religious,No,0.045,All
221,Eastern,West Bengal,Hooghly,Hangseswari Temple,Temple,1814,0.5,4.6,0,Yes,None,Architectural,No,0.07,All
222,Eastern,West Bengal,Jalpaiguri,Gorumara National Park,National Park,1949,3.0,4.4,100,Yes,None,Wildlife,Yes,0.07,All
223,Eastern,West Bengal,Cooch Behar,Cooch Behar Palace,Palace,1887,1.0,4.5,20,Yes,Friday,Historical,Yes,0.09,All
224,Eastern,West Bengal,Purulia,Ayodhya Hills,Hill,Unknown,2.5,4.5,0,No,None,Nature,Yes,0.15,All
225,Eastern,Odisha,Puri,Jagannath Temple,Temple,12th century,2.0,4.7,0,Yes,None,Religious,No,1.0,All
226,Eastern,Odisha,Konark,Sun Temple,Temple,1250,1.5,4.7,40,Yes,None,Historical,Yes,0.83,All
227,Eastern,Odisha,Bhubaneswar,Lingaraj Temple,Temple,11th century,1.0,4.6,0,Yes,None,Religious,No,0.35,All
228,Eastern,Odisha,Rourkela,Khandadhar Waterfall,Waterfall,Unknown,1.5,4.5,0,No,None,Nature,Yes,1.2,All
229,Eastern,Odisha,Cuttack,Barabati Fort,Fort,-987,1.0,4.5,0,Yes,None,Historical,Yes,0.13,All
230,Eastern,Odisha,Sambalpur,Hirakud Dam,Dam,1957,1.0,4.5,0,No,None,Engineering Marvel,Yes,0.01,All
231,Eastern,Odisha,Chilika,Chilika Lake,Lake,Unknown,2.0,3.9,0,Yes,None,Nature,Yes,0.1,Morning
232,Eastern,Odisha,Berhampur,Tara Tarini Temple,Temple,Ancient,1.0,4.6,0,Yes,None,Religious,No,0.01,All
233,Eastern,Odisha,Keonjhar,Badaghagara Waterfall,Waterfall,Unknown,1.0,4.3,0,No,None,Nature,Yes,0.018,Morning
234,Eastern,Odisha,Balasore,Chandipur Beach,Beach,Unknown,1.5,4.2,0,Yes,None,Recreational,Yes,0.014,Morning
235,Eastern,Odisha,Kendujhar,Sanaghagara Waterfall,Waterfall,Unknown,1.0,4.4,0,No,None,Nature,Yes,0.055,All
236,Southern,Tamil Nadu,Chennai,Marina Beach,Beach,Unknown,1.5,3.9,0,Yes,None,Recreational,Yes,0.1,Morning
237,Southern,Tamil Nadu,Madurai,Meenakshi Amman Temple,Temple,6th century AD,2.0,4.7,0,Yes,None,Religious,No,0.65,All
238,Southern,Tamil Nadu,Rameswaram,Ramanathaswamy Temple,Temple,12th century,1.5,4.6,0,No,None,Religious,No,0.01,All
239,Southern,Tamil Nadu,Kanyakumari,Vivekananda Rock Memorial,Memorial,1970,1.0,4.6,20,Yes,None,Historical,No,0.47,Morning
240,Southern,Tamil Nadu,Ooty,Ooty Lake,Lake,1824,1.0,4.1,10,Yes,None,Recreational,Yes,0.61,Morning
241,Southern,Tamil Nadu,Coimbatore,Marudamalai Temple,Temple,12th century,1.0,4.7,0,Yes,None,Religious,No,0.3,All
242,Southern,Tamil Nadu,Kodaikanal,Kodaikanal Lake,Lake,1863,2.0,3.9,0,No,None,Recreational,Yes,0.1,Morning
243,Southern,Tamil Nadu,Thanjavur,Brihadeeswarar Temple,Temple,110,1.5,4.8,0,Yes,None,Religious,No,0.35,All
244,Southern,Tamil Nadu,Mahabalipuram,Shore Temple,Temple,7th century,1.0,4.6,40,Yes,None,Historical,No,0.09,All
245,Southern,Tamil Nadu,Yercaud,Yercaud Lake,Lake,Unknown,1.0,4.2,0,No,None,Recreational,Yes,0.019,Morning
246,Southern,Tamil Nadu,Tirunelveli,Nellaiappar Temple,Temple,7th century,1.0,4.6,0,Yes,None,Religious,No,0.16,All
247,Southern,Tamil Nadu,Chidambaram,Nataraja Temple,Temple,10th century,1.0,4.7,0,Yes,None,Religious,No,0.28,All
248,Southern,Andhra Pradesh,Vijayawada,Kanaka Durga Temple,Temple,Unknown,1.0,4.7,0,Yes,None,Religious,No,0.44,All
249,Southern,Andhra Pradesh,Visakhapatnam,Rishikonda Beach,Beach,Unknown,1.5,4.5,0,Yes,None,Recreational,Yes,0.39,Morning
250,Southern,Andhra Pradesh,Srisailam,Mallikarjuna Swamy Temple,Temple,14th century,1.0,4.7,0,No,None,Religious,No,0.49,All
251,Southern,Andhra Pradesh,Rajahmundry,Papikondalu,Hill,Unknown,2.0,4.3,0,Yes,None,Nature,Yes,0.032,All
252,Southern,Andhra Pradesh,Anantapur,Lepakshi,Site,16th century,1.5,4.6,0,No,None,Historical,Yes,0.075,All
253,Southern,Andhra Pradesh,Kurnool,Belum Caves,Cave,Unknown,1.5,4.4,65,Yes,None,Natural Wonder,Yes,0.11,Afternoon
254,Southern,Andhra Pradesh,Amravati,Amaravathi Temple,Temple,Unknown,1.0,4.7,0,Yes,None,Religious,No,0.041,All
255,Southern,Andhra Pradesh,Guntur,Uppalapadu Bird Sanctuary,Bird Sanctuary,Unknown,1.0,4.4,10,Yes,None,Wildlife,Yes,0.7,All
256,Southern,Andhra Pradesh,Kadapa,Gandikota Fort,Fort,12th century,1.5,4.5,0,No,None,Historical,Yes,0.015,Morning
257,Southern,Andhra Pradesh,Puttaparthi,Prasanthi Nilayam,Spiritual Center,1950,1.0,4.7,0,Yes,None,Religious,Yes,0.12,All
258,Southern,Andhra Pradesh,Vizianagaram,Simhachalam Temple,Temple,198,1.0,4.7,0,Yes,None,Religious,No,0.59,All
259,Southern,Andhra Pradesh,Visakhapatnam,Kailasagiri,Hill,Unknown,2.0,4.5,0,Yes,None,Recreational,Yes,0.019,All
260,Southern,Andhra Pradesh,Visakhapatnam,Submarine Museum,Museum,22,1.0,4.6,40,Yes,None,Historical,Yes,0.49,All
261,Southern,Andhra Pradesh,Visakhapatnam,Borra Caves,Cave,Unknown,2.0,4.5,60,No,None,Natural Wonder,Yes,0.31,Afternoon
262,Southern,Andhra Pradesh,Visakhapatnam,War Memorial,War Memorial,Unknown,1.0,4.6,0,Yes,None,Historical,Yes,0.059,All
263,Southern,Andhra Pradesh,Visakhapatnam,Indira Gandhi Zoological Park,Zoo,1977,2.0,4.1,20,Yes,Monday,Wildlife,Yes,0.25,Afternoon
264,Southern,Andhra Pradesh,Visakhapatnam,Matsyadarshini Aquarium,Aquarium,Unknown,1.0,3.8,20,Yes,None,Recreational,Yes,0.03,All
265,Southern,Andhra Pradesh,Visakhapatnam,Visakha Museum,Museum,1991,1.0,4.3,10,Yes,None,Cultural,Yes,0.065,All
266,Eastern,Sikkim,Gangtok,Nathula Pass,Hill,Unknown,2.0,4.3,20,Yes,None,Historical,Yes,0.15,Afternoon
267,Eastern,Sikkim,Pelling,Pemayangtse Monastery,Monastery,1705,1.0,4.6,20,No,None,Religious,No,0.015,Morning
268,Eastern,Sikkim,Namchi,Char Dham,Religious Complex,211,2.0,4.7,50,Yes,None,Religious,No,0.12,All
269,Eastern,Sikkim,Gangtok,Rumtek Monastery,Monastery,1960s,1.0,4.6,10,Yes,None,Religious,No,0.035,Morning
270,Eastern,Sikkim,Ravangla,Buddha Park,Park,213,1.0,4.8,50,Yes,None,Cultural,Yes,0.1,All
271,Eastern,Sikkim,Gangtok,Baba Harbhajan Singh Temple,Temple,1967,1.0,4.7,0,Yes,None,Religious,No,0.075,All
272,Eastern,Sikkim,Gangtok,Tsomgo Lake,Lake,Unknown,2.0,4.5,0,Yes,None,Nature,Yes,0.15,Morning
273,North Eastern,Assam,Guwahati,Kamakhya Temple,Temple,Unknown,2.0,4.6,0,Yes,None,Religious,No,0.21,All
274,North Eastern,Assam,Kaziranga,Kaziranga National Park,National Park,1905,3.0,4.5,650,No,None,Wildlife,No,0.068,Morning
275,North Eastern,Assam,Guwahati,Umananda Island,Island,Unknown,1.0,4.1,0,Yes,None,Nature,Yes,0.01,Morning
276,North Eastern,Assam,Sivasagar,Sivasagar Sivadol,Temple,1734,1.0,4.7,0,No,None,Historical,Yes,0.065,All
277,North Eastern,Assam,Majuli,Majuli Island,River Island,Unknown,2.0,4.7,0,No,None,Cultural,Yes,0.01,Morning
278,North Eastern,Assam,Manas,Manas National Park,National Park,1990,3.0,4.6,500,No,None,Wildlife,Yes,0.19,Morning
279,North Eastern,Assam,Hajo,Hayagriva Madhava Temple,Temple,Unknown,1.0,4.5,0,No,None,Religious,Yes,0.9,All
280,North Eastern,Assam,Guwahati,Pobitora Wildlife Sanctuary,Wildlife Sanctuary,1987,2.0,4.4,500,Yes,None,Wildlife,Yes,0.037,All
281,North Eastern,Arunachal Pradesh,Tawang,Tawang Monastery,Monastery,1680,2.0,4.7,0,No,None,Religious,No,0.032,Morning
282,North Eastern,Tripura,Agartala,Ujjayanta Palace,Palace,1901,1.5,4.5,10,Yes,Monday,Historical,Yes,0.035,All
283,North Eastern,Tripura,Dumboor,Dumboor Lake,Lake,Unknown,1.0,4.5,0,No,None,Nature,Yes,0.01,Morning
284,North Eastern,Tripura,Unakoti,Unakoti Rock Carvings,Rock Carvings,700,1.5,4.5,20,No,None,Historical,Yes,0.025,Morning
285,Central,Chhattisgarh,Bastar,Chitrakote Falls,Waterfall,Unknown,1.5,4.6,0,No,None,Nature,Yes,0.19,Morning
286,North Eastern,Nagaland,Dzükou Valley,Dzükou Valley,Valley,Unknown,3.0,4.7,0,No,None,Trekking,Yes,0.01,Afternoon
287,Southern,Puducherry,Puducherry,Promenade Beach,Beach,Unknown,1.0,4.5,0,Yes,None,Recreational,Yes,0.09,Morning
288,Southern,Puducherry,Auroville,Auroville,Township,1968,2.0,4.1,0,Yes,None,Cultural,Yes,0.035,All
289,Southern,Puducherry,Puducherry,Paradise Beach,Beach,Unknown,1.0,4.5,200,Yes,None,Recreational,Yes,0.015,Morning
290,Southern,Andaman and Nicobar Islands,Port Blair,Cellular Jail,Landmark,1906,1.5,4.7,30,Yes,Monday,Historical,Yes,0.12,Afternoon
291,Southern,Andaman and Nicobar Islands,Havelock Island,Radhanagar Beach,Beach,Unknown,1.0,4.8,0,No,None,Nature,Yes,0.09,Morning
292,Southern,Andaman and Nicobar Islands,Neil Island,Bharatpur Beach,Beach,Unknown,1.0,4.5,0,No,None,Nature,Yes,0.04,Morning
293,Southern,Andaman and Nicobar Islands,Baratang Island,Limestone Caves,Natural Feature,Unknown,1.5,4.4,250,No,None,Nature,Yes,0.015,Morning
294,Western,Daman and Diu,Diu,Naida Caves,Cave,Unknown,1.0,4.5,0,No,None,Nature,Yes,0.6,Afternoon
295,Western,Daman and Diu,Diu,Diu Fort,Fort,1535,1.5,4.6,0,No,None,Historical,Yes,1.2,Afternoon
296,Eastern,Jharkhand,Deoghar,Baba Baidyanath Temple,Temple,Unknown,1.0,4.7,0,Yes,None,Religious,Yes,1.8,All
297,Eastern,Jharkhand,Ranchi,Pahari Mandir,Temple,Unknown,1.0,4.6,0,Yes,None,Religious,Yes,0.13,All
298,Eastern,Bihar,Bodh Gaya,Mahabodhi Temple,Temple,-260,1.5,4.7,0,Yes,None,Religious,Yes,0.2,All
299,Eastern,Bihar,Patna,Sanjay Gandhi Biological Park,Zoo,Unknown,2.5,4.3,30,Yes,None,Wildlife,Yes,0.5,All
300,Eastern,Bihar,Patna,Takhat Shri Harimandir Ji Patna Sahib,Gurudwara,Unknown,1.0,4.7,0,Yes,None,Religious,Yes,0.25,All
301,Eastern,Bihar,Patna,Budhha Smriti Park,Park,Unknown,1.0,4.4,10,Yes,None,Cultural,Yes,0.31,All
302,Northern,Haryana,Gurugram,Kingdom of Dreams,Entertainment,2010,3.0,4.4,1100,Yes,Monday,Entertainment,Yes,0.3,Afternoon
303,Northern,Haryana,Gurugram,Ambience Mall,Mall,Unknown,2.0,4.6,0,Yes,None,Shopping,Yes,1.2,Afternoon
304,Northern,Haryana,Gurugram,DLF CyberHub,Commercial Complex,Unknown,2.0,4.7,0,Yes,None,Entertainment,Yes,0.71,Afternoon
305,Northern,Delhi,New Delhi,Gurudwara Bangla Sahib,Gurudwara,Unknown,1.0,4.8,0,Yes,None,Religious,Yes,1.05,All
306,Northern,Uttarakhand,Kedarnath,Kedarnath,Temple,Unknown,1.5,4.8,0,No,None,Religious,No,2.0,All
307,Central,Uttar Pradesh,Noida,DLF Mall of India,Mall,2016,2.0,4.6,0,Yes,None,Shopping,Yes,1.5,All
308,Central,Uttar Pradesh,Greater Noida,The Grand Venice Mall,Mall,Unknown,2.0,4.2,0,Yes,None,Shopping,Yes,0.45,All
309,Southern,Karnataka,Bengaluru,Wonderla Amusement Park,Amusement Park,2005,4.0,4.5,890,Yes,None,Entertainment,Yes,0.95,All
310,Eastern,Odisha,Bhubaneswar,Nandankanan Zoological Park,Zoo,1960,3.0,4.4,50,Yes,Monday,Wildlife,Yes,0.81,Afternoon
311,Southern,Karnataka,Bengaluru,Orion Mall,Mall,2012,2.0,4.5,0,Yes,None,Shopping,Yes,1.8,All
312,Southern,Telangana,Hyderabad,Inorbit Mall Cyberabad,Mall,2004,2.0,4.5,0,Yes,None,Shopping,Yes,1.2,All
313,Northern,Delhi,New Delhi,Jama Masjid,Mosque,1656,1.0,4.5,0,Yes,None,Historical,Yes,0.49,All
314,Southern,Tamil Nadu,Rameswaram,Ramanathaswamy Temple,Temple,Unknown,1.5,4.7,0,Yes,None,Religious,No,0.1,All
315,Central,Uttar Pradesh,Greater Noida,Buddh International Circuit,Race Track,2011,2.0,4.6,1500,Yes,Sunday,Sports,Yes,7.4,All
316,Central,Uttar Pradesh,Lucknow,Phoenix Palassio,Mall,2020,2.0,4.6,0,Yes,None,Shopping,Yes,0.35,All
317,Southern,Kerala,Kochi,LuLu International Shopping Mall,Mall,2013,3.0,4.6,0,Yes,None,Shopping,Yes,1.9,All
318,Northern,Delhi,New Delhi,Rail Museum,Museum,1977,2.0,4.4,50,Yes,Monday,Cultural,Yes,0.24,Morning
319,North Eastern,Meghalaya,Cherrapunji,Living Root Bridge,Natural Feature,Unknown,2.0,4.6,0,No,None,Nature,Yes,0.06,Morning
320,Western,Gujarat,Gandhinagar,Akshardham,Temple,1992,3.0,4.6,0,Yes,Monday,Religious,No,0.18,All
321,Central,Uttar Pradesh,Agra,Agra Fort,Fort,1565,2.0,4.5,40,Yes,None,Historical,Yes,1.3,Afternoon
322,Central,Madhya Pradesh,Bhopal,Madhya Pradesh Tribal Museum,Museum,2013,2.0,4.7,10,Yes,Monday,Cultural,Yes,0.15,All
323,Northern,Rajasthan,Jaipur,City Palace,Palace,1727,2.0,4.4,200,Yes,None,Historical,Yes,0.51,Morning
324,Northern,Rajasthan,Jaipur,Albert Hall Museum,Museum,1887,2.0,4.5,200,Yes,None,Historical,Yes,0.63,All
325,North-East,Assam,Kaziranga,Curtis LLC Palace,Palace,1647,3.9,4.6,10,Yes,Tuesday,Historical,No,4.66,Morning
326,Eastern,Assam,Guwahati,Dixon-Powers Temple,Temple,1675,6.0,4.8,200,No,Saturday,Historical,No,3.16,Morning
327,North-East,Kerala,Thiruvananthapuram,Anderson-Williams Temple,Temple,1428,3.2,4.8,10,Yes,Friday,Religious,No,3.41,Afternoon
328,Western,Himachal Pradesh,Shimla,"Clark, Williams and Garner Hill Station",Hill Station,1725,5.7,3.5,50,No,Tuesday,Architectural,Yes,3.26,Afternoon
329,Western,Karnataka,Hampi,Jackson-Neal Lake,Lake,1534,5.3,4.3,10,No,Saturday,Natural,Yes,1.18,Evening
330,Central,Assam,Kaziranga,"Chan, Gross and Gilbert Wildlife Sanctuary",Wildlife Sanctuary,1698,2.7,4.6,10,No,Tuesday,Religious,Yes,1.71,Evening
331,Eastern,Maharashtra,Pune,Terry-Wilkerson Palace,Palace,1811,2.3,4.2,50,Yes,Wednesday,Scientific,No,0.78,Afternoon
332,North-East,Uttar Pradesh,Varanasi,"Allen, Harvey and Evans Palace",Palace,1478,5.6,4.7,100,No,Tuesday,Scientific,Yes,0.18,Afternoon
333,Northern,Maharashtra,Mumbai,Jefferson-Williams Wildlife Sanctuary,Wildlife Sanctuary,1987,3.0,3.7,0,Yes,Thursday,Cultural,No,2.98,Morning
334,Central,Assam,Kaziranga,Kelly and Sons Fort,Fort,1570,4.5,4.3,200,Yes,Tuesday,Scientific,No,1.03,Evening
335,North-East,Assam,Kaziranga,"Bass, Obrien and Moore Fort",Fort,1814,5.2,4.7,10,No,Sunday,Natural,Yes,3.99,Afternoon
336,Eastern,Karnataka,Bengaluru,Wilson Group Beach,Beach,1441,6.0,3.9,10,No,None,Scientific,Yes,3.64,Evening
337,Western,Karnataka,Hampi,Carter and Sons Lake,Lake,1255,1.2,4.8,20,Yes,Friday,Natural,No,1.94,Afternoon
338,Eastern,Uttar Pradesh,Agra,Kirk-Parker Temple,Temple,1269,4.1,4.3,50,Yes,Saturday,Natural,No,1.98,Morning
339,Southern,Kerala,Munnar,Sutton PLC Fort,Fort,1571,2.2,4.8,100,No,None,Scientific,Yes,1.43,Evening
340,Western,Rajasthan,Jodhpur,"Wilson, Stone and Sanchez Museum",Museum,1790,4.5,4.8,50,Yes,None,Scientific,Yes,2.56,Morning
341,North-East,Maharashtra,Pune,Alvarez-Richards Wildlife Sanctuary,Wildlife Sanctuary,1292,2.5,4.4,20,Yes,Sunday,Religious,Yes,3.78,Afternoon
342,Western,West Bengal,Darjeeling,Holder PLC Lake,Lake,1472,2.8,3.8,10,No,Saturday,Architectural,No,3.57,Evening
343,Central,Kerala,Thiruvananthapuram,Skinner and Sons Hill Station,Hill Station,1493,3.4,4.1,200,No,Thursday,Scientific,Yes,3.91,Afternoon
344,Central,Tamil Nadu,Ooty,"Chung, Key and Miles Museum",Museum,1955,1.3,4.1,100,No,Saturday,Scientific,Yes,3.67,Morning
345,Central,Kerala,Munnar,Murphy LLC Beach,Beach,1989,1.4,4.8,100,Yes,Saturday,Scientific,No,2.59,Afternoon
346,Central,Assam,Tezpur,Holmes-Hobbs Palace,Palace,1223,4.6,4.7,20,No,Tuesday,Natural,Yes,3.24,Evening
347,Central,Karnataka,Mysore,Hartman Group Lake,Lake,2013,1.3,4.1,200,Yes,Friday,Religious,Yes,1.81,Evening
348,Western,Assam,Guwahati,"Benton, Meyer and Khan Wildlife Sanctuary",Wildlife Sanctuary,1496,1.4,4.3,0,Yes,Tuesday,Cultural,No,3.09,Morning
349,Western,Tamil Nadu,Ooty,"Crawford, Hensley and White Fort",Fort,1732,5.4,4.9,200,Yes,Sunday,Architectural,Yes,0.98,Afternoon
350,North-East,Assam,Guwahati,Osborne Group Palace,Palace,1253,4.8,4.9,100,Yes,Tuesday,Architectural,No,4.48,Morning
351,Central,Rajasthan,Jaipur,Mckee PLC Palace,Palace,1254,2.5,4.8,20,Yes,Wednesday,Historical,Yes,3.18,Morning
352,Eastern,Karnataka,Mysore,"Smith, Briggs and Peterson Palace",Palace,1421,3.6,3.9,200,No,Friday,Scientific,No,2.39,Morning
353,Southern,Tamil Nadu,Ooty,"Ferguson, Ellis and Davidson Beach",Beach,1644,1.5,4.6,100,No,Monday,Architectural,No,2.38,Morning
354,Southern,Goa,Panaji,Smith Group Temple,Temple,1392,4.6,4.9,200,Yes,Wednesday,Natural,Yes,2.45,Morning
355,Northern,Goa,Vasco,"Dyer, Whitehead and Griffin Beach",Beach,1474,3.0,4.4,50,Yes,None,Scientific,Yes,1.66,Evening
356,Eastern,Kerala,Kochi,Smith LLC Palace,Palace,1832,1.4,3.6,20,Yes,Tuesday,Natural,No,4.08,Morning
357,North-East,Maharashtra,Pune,Thomas PLC Wildlife Sanctuary,Wildlife Sanctuary,1202,2.7,4.1,50,No,Friday,Natural,No,3.82,Morning
358,Southern,Uttar Pradesh,Varanasi,Richmond-Williams Museum,Museum,1856,1.4,4.0,10,No,Wednesday,Historical,Yes,0.48,Evening
359,Western,Himachal Pradesh,Manali,"Kaufman, Callahan and Jones Wildlife Sanctuary",Wildlife Sanctuary,1498,3.8,4.0,10,No,Wednesday,Scientific,No,1.04,Morning
360,Western,Tamil Nadu,Madurai,"Ray, Cochran and York Hill Station",Hill Station,1582,2.4,4.5,200,Yes,Tuesday,Natural,Yes,0.78,Afternoon
361,Eastern,Rajasthan,Jaipur,"James, Elliott and Vasquez Wildlife Sanctuary",Wildlife Sanctuary,1996,1.4,5.0,200,No,Wednesday,Natural,Yes,3.13,Afternoon
362,Northern,Uttar Pradesh,Lucknow,Chambers PLC Beach,Beach,1306,4.6,5.0,0,Yes,Tuesday,Scientific,Yes,1.91,Morning
363,North-East,Rajasthan,Jaipur,Jackson-Hicks Wildlife Sanctuary,Wildlife Sanctuary,2016,4.2,4.0,10,Yes,Wednesday,Natural,Yes,1.61,Afternoon
364,Eastern,Assam,Guwahati,"Tran, Santiago and Williams Temple",Temple,1548,1.3,3.7,50,Yes,None,Religious,No,1.37,Evening
365,Southern,Himachal Pradesh,Shimla,Pittman LLC Palace,Palace,1975,5.1,4.3,50,No,Friday,Scientific,No,0.44,Evening
366,Eastern,Rajasthan,Jaipur,Thompson-Martinez Fort,Fort,1960,3.5,4.8,0,Yes,Thursday,Historical,Yes,2.4,Morning
367,North-East,Tamil Nadu,Chennai,Kline Ltd Palace,Palace,1618,2.8,4.6,10,No,Sunday,Architectural,No,2.48,Morning
368,Western,Tamil Nadu,Chennai,Williams-Sanchez Hill Station,Hill Station,1945,3.7,4.8,100,Yes,Saturday,Natural,No,0.87,Afternoon
369,Western,Kerala,Munnar,Webb-Singleton Fort,Fort,1723,2.1,3.6,10,Yes,Monday,Natural,Yes,0.56,Evening
370,North-East,Assam,Guwahati,"Hanna, Williams and Cole Lake",Lake,1986,2.7,3.7,50,Yes,Sunday,Scientific,Yes,4.53,Morning
371,Central,Karnataka,Mysore,"Butler, Freeman and Hughes Lake",Lake,1633,5.3,4.9,0,Yes,Saturday,Architectural,No,1.75,Morning
372,North-East,West Bengal,Darjeeling,Smith Inc Museum,Museum,1450,5.1,4.3,200,No,Monday,Cultural,No,1.87,Afternoon
373,North-East,Assam,Guwahati,Miles-Hall Palace,Palace,1799,4.6,3.6,200,Yes,Friday,Architectural,Yes,4.78,Morning
374,Southern,Kerala,Munnar,Pierce-Reid Lake,Lake,1855,1.9,4.1,50,No,Saturday,Religious,Yes,1.97,Afternoon
375,North-East,Goa,Vasco,Rogers-Matthews Temple,Temple,1476,3.8,4.6,100,Yes,Monday,Cultural,No,2.99,Afternoon
376,North-East,Karnataka,Bengaluru,Miller and Sons Temple,Temple,1952,3.0,5.0,0,Yes,Thursday,Architectural,No,2.76,Evening
377,Southern,Maharashtra,Nagpur,Williams Inc Fort,Fort,1965,1.2,3.9,0,Yes,Wednesday,Scientific,Yes,0.54,Morning
378,Eastern,Goa,Vasco,Reynolds-Molina Lake,Lake,1448,5.8,4.3,0,Yes,Tuesday,Historical,No,1.26,Afternoon
379,Western,Himachal Pradesh,Shimla,Bryant LLC Temple,Temple,1587,2.6,3.7,10,No,Wednesday,Architectural,Yes,1.48,Evening
380,Western,Rajasthan,Jaipur,Greene and Sons Fort,Fort,1719,4.9,5.0,100,Yes,Saturday,Historical,No,0.74,Afternoon
381,Central,Himachal Pradesh,Dharamshala,Reyes and Sons Lake,Lake,1866,3.6,4.2,10,Yes,Thursday,Natural,Yes,1.63,Afternoon
382,Northern,Himachal Pradesh,Dharamshala,Higgins PLC Fort,Fort,1230,3.5,4.9,0,Yes,None,Cultural,Yes,1.59,Afternoon
383,Southern,Karnataka,Mysore,Olson Ltd Fort,Fort,1786,3.2,4.6,20,Yes,Saturday,Cultural,No,3.84,Evening
384,Eastern,Maharashtra,Nagpur,"Malone, Brown and Reyes Temple",Temple,1664,5.4,3.6,0,No,Thursday,Architectural,No,4.49,Morning
385,Northern,Tamil Nadu,Ooty,Baker Inc Hill Station,Hill Station,1380,2.3,4.5,100,No,Friday,Religious,No,0.32,Morning
386,Central,Rajasthan,Udaipur,White-Williams Hill Station,Hill Station,1323,1.2,3.6,0,Yes,Monday,Natural,Yes,1.77,Morning
387,Northern,Kerala,Kochi,Strickland and Sons Temple,Temple,1230,2.2,4.7,100,Yes,Wednesday,Religious,No,4.91,Evening
388,Southern,Maharashtra,Mumbai,Gallagher Ltd Museum,Museum,1588,5.5,3.9,100,No,Saturday,Cultural,Yes,1.56,Afternoon
389,North-East,Karnataka,Bengaluru,Buck-White Lake,Lake,1445,3.0,4.4,50,No,Saturday,Architectural,Yes,2.38,Morning
390,Northern,Goa,Margao,"Clark, Moore and Quinn Lake",Lake,1848,2.1,4.1,0,Yes,Monday,Scientific,No,1.26,Morning
391,Central,Tamil Nadu,Chennai,Howard Ltd Palace,Palace,1660,2.9,4.1,200,No,Friday,Cultural,No,0.77,Morning
392,Central,West Bengal,Sundarbans,Davis-English Museum,Museum,1533,4.5,3.9,100,No,Thursday,Religious,No,3.79,Morning
393,North-East,Goa,Panaji,Gonzalez-Nunez Fort,Fort,1437,2.4,4.5,20,No,Thursday,Scientific,Yes,4.21,Afternoon
394,North-East,Maharashtra,Mumbai,Jefferson-Robinson Lake,Lake,1266,2.7,4.5,20,Yes,Tuesday,Architectural,No,0.38,Afternoon
395,North-East,Karnataka,Mysore,Lawson-Clay Lake,Lake,1263,1.4,3.6,20,No,None,Architectural,No,4.95,Afternoon
396,Central,Goa,Panaji,Lambert and Sons Lake,Lake,1408,5.2,4.5,10,Yes,Wednesday,Cultural,Yes,4.92,Evening
397,Western,Goa,Panaji,Nelson PLC Palace,Palace,1811,5.0,4.6,200,No,Saturday,Religious,No,3.82,Evening
