sno.,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit
190,Central,Madhya Pradesh,Bhopal,Pollard-Wilson Museum,Sanctuary,1919,4,3.9,50,No,Sunday,Religious,No,0.9,Afternoon
191,Eastern,West Bengal,Kolkata,"Black, Zamora and Lara Memorial",Hill Station,1709,5,4.2,0,Yes,Wednesday,Architectural,Yes,2.9,Morning
192,Eastern,Odisha,Bhubaneswar,Wang and Sons Park,War Memorial,1874,3,3.7,10,No,None,Historical,Yes,3.7,Summer
193,Western,Gujarat,Ahmedabad,"Leach, Moore and Harris Museum",War Memorial,1720,4,3.6,50,Yes,Sunday,Architectural,No,3.6,Summer
194,Northern,Uttar Pradesh,Agra,Thompson-Simpson Temple,Sanctuary,1548,4,3.5,30,Yes,Saturday,Cultural,Yes,3.8,Evening
195,North-Eastern,Assam,Guwahati,"Hall, Brown and Owens Fort",Lake,1592,6,4.4,30,Yes,Friday,Natural,Yes,2.7,Winter
196,North-Eastern,Assam,Guwahati,"Davis, Williams and Cox Park",Sanctuary,1695,6,3.6,10,Yes,Thursday,Historical,Yes,1.1,Morning
197,Eastern,Odisha,Bhubaneswar,"Kaufman, Roman and Kim Fort",Theme Park,1906,4,4.1,100,Yes,Thursday,Natural,Yes,1.2,Morning
198,Southern,Kerala,Kochi,"Wyatt, Clark and Ayers Park",Theme Park,1656,4,4.9,0,Yes,Friday,Architectural,Yes,4.5,Afternoon
199,Eastern,West Bengal,Kolkata,Howard LLC Fort,Museum,1900,6,4,10,Yes,Thursday,Architectural,Yes,2.5,Winter
200,North-Eastern,Meghalaya,Shillong,"Harvey, Alvarado and Lyons Fort",War Memorial,1762,6,4.7,50,Yes,Sunday,Religious,No,0.4,Winter
201,Southern,Tamil Nadu,Chennai,Oneal LLC Memorial,Museum,1758,3,4.4,30,Yes,Monday,Natural,No,4.8,Summer
202,Eastern,West Bengal,Kolkata,Keller-Mendoza Park,Temple,1534,6,4.6,30,Yes,Tuesday,Religious,No,1.5,Evening
203,Eastern,West Bengal,Kolkata,Wheeler-Baker Park,Fort,1745,4,4.2,0,Yes,Thursday,Cultural,No,0.7,Morning
204,Northern,Punjab,Amritsar,"Smith, Long and Weber Park",Zoo,1759,3,4.4,30,Yes,Monday,Natural,Yes,2.2,Morning
205,Western,Gujarat,Ahmedabad,"Thompson, Graham and Phillips Fort",Temple,1704,2,4.6,20,Yes,Tuesday,Environmental,Yes,1,Afternoon
206,Northern,Uttar Pradesh,Agra,"Miller, Sanchez and Parker Park",Theme Park,1694,1,3.7,50,Yes,Saturday,Historical,No,0.7,Winter
207,Eastern,West Bengal,Kolkata,West LLC Memorial,War Memorial,1586,2,4.8,0,Yes,Wednesday,Historical,No,3.5,Morning
208,Northern,Punjab,Amritsar,Edwards-Keller Museum,Museum,1889,6,4.2,0,Yes,Monday,Cultural,No,4.5,Summer
209,Southern,Karnataka,Bengaluru,Foley PLC Temple,Theme Park,1594,6,4.8,30,Yes,Tuesday,Religious,Yes,4.9,Evening
210,Southern,Karnataka,Bengaluru,"Mitchell, Gomez and Coffey Park",Zoo,1598,6,4.3,50,Yes,Friday,Religious,No,3,Morning
211,Southern,Karnataka,Bengaluru,Hines-Cruz Fort,Sanctuary,1895,6,4.9,0,Yes,Friday,Religious,No,2.7,Winter
212,Central,Madhya Pradesh,Bhopal,Miller-Henderson Temple,Tomb,1593,5,3.6,20,Yes,Wednesday,Historical,Yes,0.6,Winter
213,Southern,Kerala,Kochi,"Reid, Anderson and Welch Temple",Zoo,1598,4,4.9,20,Yes,None,Religious,No,3.7,Morning
214,Eastern,West Bengal,Kolkata,Robinson-Smith Fort,Hill Station,1694,6,4.4,30,No,Friday,Natural,Yes,3.6,Afternoon
215,Eastern,West Bengal,Kolkata,Hoffman Ltd Fort,Theme Park,1594,5,4.9,10,Yes,Friday,Historical,No,1.1,Winter
216,Central,Madhya Pradesh,Bhopal,Gutierrez Group Fort,Zoo,1807,4,4.1,20,Yes,Tuesday,Historical,Yes,2,Morning
217,Northern,Delhi,Delhi,Thomas Inc Museum,Tomb,1908,4,4.6,50,Yes,Sunday,Cultural,No,3.6,Afternoon
218,Eastern,West Bengal,Kolkata,Carter Group Park,Temple,1964,3,4.3,20,Yes,Sunday,Natural,No,2.4,Evening
219,Central,Madhya Pradesh,Bhopal,Davis and Sons Fort,War Memorial,1759,1,4.3,20,Yes,Wednesday,Historical,Yes,2.8,Evening
220,Central,Madhya Pradesh,Bhopal,Parker Group Museum,Tomb,1844,3,4.4,50,Yes,Wednesday,Historical,Yes,3.3,Afternoon
221,North-Eastern,Meghalaya,Shillong,Beltran-Snow Museum,Temple,1762,1,3.6,10,Yes,None,Natural,Yes,3.3,Evening
222,Eastern,West Bengal,Kolkata,Butler-Strong Temple,Zoo,1502,6,4.6,10,Yes,Monday,Environmental,Yes,4.4,Evening
223,Southern,Karnataka,Bengaluru,Ochoa-Hansen Park,Hill Station,1898,3,3.8,30,Yes,Saturday,Cultural,Yes,2,Afternoon
224,Northern,Delhi,Delhi,"Martinez, Evans and Pitts Memorial",Hill Station,1842,2,4.6,10,Yes,Thursday,Environmental,No,0.3,Morning
225,Northern,Delhi,Delhi,Long-Coffey Park,Sanctuary,1635,2,3.9,100,Yes,Friday,Natural,No,4.1,Evening
226,Central,Madhya Pradesh,Bhopal,Johnson-Mills Museum,Tomb,1570,6,4,100,Yes,Friday,Historical,No,2.7,Summer
227,Eastern,Odisha,Bhubaneswar,Vasquez-Ross Temple,Lake,1816,3,3.8,100,Yes,Sunday,Environmental,No,2.8,Summer
228,Central,Madhya Pradesh,Bhopal,Elliott Ltd Temple,Museum,1751,5,3.5,100,Yes,None,Cultural,Yes,3.9,Morning
229,Eastern,Odisha,Bhubaneswar,Wilson-Ortiz Temple,Tomb,1846,2,3.7,10,No,Sunday,Environmental,No,3.3,Summer
230,North-Eastern,Meghalaya,Shillong,"Medina, Lopez and Rose Park",Zoo,1628,1,4.4,20,Yes,Tuesday,Cultural,Yes,4,Morning
231,Southern,Tamil Nadu,Chennai,"Petersen, Brown and Tran Museum",Zoo,1960,5,4.6,20,Yes,Monday,Architectural,No,1.2,Winter
232,Eastern,Odisha,Bhubaneswar,"Diaz, Hunt and Miller Memorial",Theme Park,1956,5,4,20,No,Thursday,Cultural,No,0.7,Afternoon
233,Central,Madhya Pradesh,Bhopal,Diaz Ltd Park,Sanctuary,2003,6,3.8,100,Yes,Wednesday,Cultural,Yes,0.9,Morning
234,Central,Madhya Pradesh,Bhopal,Nelson-Welch Temple,War Memorial,1514,1,4.9,50,Yes,None,Historical,Yes,3,Winter
235,North-Eastern,Meghalaya,Shillong,Webster and Sons Museum,Sanctuary,1689,1,4.4,100,Yes,Wednesday,Architectural,Yes,0.4,Afternoon
236,Southern,Karnataka,Bengaluru,Spencer-Byrd Memorial,Hill Station,1983,3,4.8,0,Yes,Sunday,Historical,No,1.5,Winter
237,Central,Madhya Pradesh,Bhopal,Long PLC Fort,Theme Park,1923,5,3.8,10,Yes,None,Architectural,No,0.8,Afternoon
238,Western,Rajasthan,Jaipur,Perkins LLC Park,War Memorial,1573,5,4,10,No,Saturday,Religious,Yes,2.3,Afternoon
239,Southern,Karnataka,Bengaluru,Hanson-Stone Fort,War Memorial,1707,6,4.7,10,Yes,Monday,Natural,No,0.2,Afternoon
240,North-Eastern,Meghalaya,Shillong,Lewis-Williams Fort,Museum,1691,4,4.5,10,Yes,Monday,Religious,Yes,2.4,Winter
241,Central,Madhya Pradesh,Bhopal,Eaton-Logan Fort,Theme Park,1685,4,4.5,10,No,Thursday,Environmental,Yes,3.3,Evening
242,North-Eastern,Assam,Guwahati,Wilson-Hubbard Memorial,Lake,1850,5,4,20,Yes,Friday,Cultural,Yes,2.6,Evening
243,Central,Madhya Pradesh,Bhopal,Tyler Ltd Temple,Lake,1937,3,3.9,100,Yes,Sunday,Natural,No,2.1,Summer
244,Northern,Delhi,Delhi,Flynn-Delacruz Museum,Sanctuary,1673,5,4.2,0,Yes,Thursday,Cultural,Yes,2.1,Winter
245,Northern,Uttar Pradesh,Agra,"Macdonald, Lopez and Garza Memorial",Lake,1535,5,4.2,0,Yes,Sunday,Natural,No,4.6,Evening
246,Central,Madhya Pradesh,Bhopal,Mcfarland and Sons Fort,Sanctuary,1890,3,4.8,100,Yes,Tuesday,Religious,No,3.2,Afternoon
247,Southern,Kerala,Kochi,"Lopez, Moore and Cortez Park",Sanctuary,1612,2,4.6,0,Yes,Saturday,Cultural,No,4.5,Winter
248,Northern,Uttar Pradesh,Agra,Webster-Martinez Temple,Fort,1995,5,3.7,0,Yes,Sunday,Religious,Yes,4.4,Summer
249,Southern,Kerala,Kochi,Bell Inc Temple,Tomb,1739,1,4.3,10,Yes,Sunday,Architectural,Yes,4.8,Morning
250,Central,Madhya Pradesh,Bhopal,"Watson, Ramirez and Andrade Museum",Zoo,1965,6,4.6,50,Yes,Wednesday,Environmental,No,1.3,Afternoon
251,Western,Rajasthan,Jaipur,King LLC Museum,Museum,1832,5,4.2,0,Yes,Saturday,Religious,Yes,2.6,Morning
252,Eastern,West Bengal,Kolkata,Mcknight-Allen Temple,Temple,1613,5,4.2,0,Yes,Thursday,Environmental,No,3.7,Evening
253,Eastern,West Bengal,Kolkata,Jones-Greene Memorial,Fort,1718,1,4.5,0,Yes,Wednesday,Cultural,Yes,5,Afternoon
254,Western,Gujarat,Ahmedabad,"Guerrero, Brown and Dennis Memorial",Zoo,1862,6,3.8,20,Yes,Friday,Environmental,No,0.2,Summer
255,Southern,Tamil Nadu,Chennai,"Davenport, Woods and Nguyen Museum",Museum,1579,1,3.8,100,Yes,Monday,Religious,No,1.9,Morning
256,Western,Maharashtra,Mumbai,Mckay-Collins Park,Sanctuary,1948,3,3.7,50,Yes,Thursday,Natural,No,0.7,Evening
257,North-Eastern,Assam,Guwahati,Moore-Powers Fort,Lake,1588,3,4.5,50,Yes,Saturday,Religious,Yes,3.7,Morning
258,Western,Gujarat,Ahmedabad,Finley Group Memorial,Theme Park,1853,3,4.7,10,Yes,Friday,Historical,No,1.1,Morning
259,Western,Rajasthan,Jaipur,"Miller, Weaver and Day Memorial",Theme Park,1760,1,4,30,Yes,Friday,Natural,Yes,0,Summer
260,Northern,Uttar Pradesh,Agra,Thompson-Zhang Museum,Sanctuary,1859,1,4.6,0,Yes,Wednesday,Environmental,Yes,2.3,Afternoon
261,Southern,Tamil Nadu,Chennai,"Johnson, Johnson and Brooks Fort",Museum,1899,4,4.6,10,Yes,None,Religious,No,1.7,Evening
262,Western,Rajasthan,Jaipur,Knox-Rose Memorial,Fort,1633,2,4.9,100,Yes,Monday,Religious,Yes,0.1,Afternoon
263,Northern,Punjab,Amritsar,"Khan, Baxter and Mckinney Park",Fort,1689,5,3.9,0,Yes,Monday,Cultural,No,0.5,Morning
264,North-Eastern,Meghalaya,Shillong,"Ramos, Meyers and Hughes Memorial",Lake,1585,3,4.1,50,Yes,Thursday,Historical,Yes,2.3,Morning
265,Western,Maharashtra,Mumbai,Ferguson-Cook Museum,Zoo,1903,5,3.9,100,Yes,Sunday,Natural,No,3.9,Evening
266,Northern,Punjab,Amritsar,Perez-Shaw Park,Fort,1686,2,4.8,0,Yes,Monday,Natural,Yes,3.5,Morning
267,Central,Madhya Pradesh,Bhopal,"Robinson, Jensen and Cooley Fort",War Memorial,1794,3,4.1,10,Yes,Monday,Natural,No,2.4,Afternoon
268,Central,Madhya Pradesh,Bhopal,Nelson-Fuentes Memorial,Museum,2016,4,4.9,0,Yes,Monday,Historical,Yes,0.6,Afternoon
269,Eastern,West Bengal,Kolkata,Cruz-Vega Fort,Temple,1784,4,4.3,0,No,Wednesday,Environmental,No,0.8,Summer
270,Southern,Karnataka,Bengaluru,"Mills, Bryant and Jones Park",Zoo,1775,2,3.7,20,No,Monday,Architectural,Yes,1.2,Winter
271,Western,Maharashtra,Mumbai,Anderson Inc Memorial,Museum,1531,4,4.9,100,Yes,Thursday,Historical,Yes,0.5,Summer
272,Eastern,Odisha,Bhubaneswar,Beard PLC Museum,Zoo,1523,2,4.2,30,Yes,Wednesday,Historical,No,1.9,Winter
273,Western,Rajasthan,Jaipur,West-Morris Memorial,Fort,1723,5,4,10,Yes,Sunday,Environmental,Yes,3.5,Evening
274,Southern,Karnataka,Bengaluru,"Reilly, Savage and Rubio Park",Lake,1897,2,4.7,100,Yes,Saturday,Religious,No,1.2,Evening
275,Western,Gujarat,Ahmedabad,Williams-Sloan Temple,Fort,1530,5,4.9,20,Yes,Wednesday,Historical,No,3.9,Summer
276,Eastern,West Bengal,Kolkata,Russell Inc Fort,Lake,1757,3,3.8,20,Yes,Saturday,Religious,No,0.2,Afternoon
277,Western,Maharashtra,Mumbai,"Gill, Martin and Davis Temple",Fort,1551,4,4,0,Yes,Monday,Cultural,No,2.3,Afternoon
278,Eastern,Odisha,Bhubaneswar,Bowman-Dyer Park,Hill Station,1743,6,4.9,10,Yes,Wednesday,Environmental,Yes,4.6,Summer
279,Western,Gujarat,Ahmedabad,Baker-Young Temple,Fort,1694,6,4.7,100,Yes,None,Natural,No,3.3,Winter
280,Central,Madhya Pradesh,Bhopal,"Thomas, Collins and Roberts Memorial",Lake,1886,6,4.8,20,Yes,Wednesday,Architectural,No,2.6,Evening
281,Western,Gujarat,Ahmedabad,"Clark, Baker and Evans Fort",Zoo,1645,1,3.6,100,Yes,Thursday,Environmental,Yes,4.2,Morning
282,Central,Madhya Pradesh,Bhopal,Monroe Ltd Temple,War Memorial,1843,4,4.3,30,Yes,Monday,Environmental,Yes,2.8,Winter
283,Central,Madhya Pradesh,Bhopal,Terrell-Banks Memorial,War Memorial,1902,2,4.3,50,No,Saturday,Cultural,No,1.5,Morning
284,Central,Madhya Pradesh,Bhopal,Schneider-Stewart Temple,Fort,1641,3,4.7,20,Yes,Thursday,Architectural,Yes,4.8,Summer
285,Northern,Uttar Pradesh,Agra,Pratt PLC Temple,Sanctuary,1802,6,4.8,0,Yes,Saturday,Environmental,No,0.9,Morning
286,Northern,Punjab,Amritsar,"Vazquez, Gordon and Garcia Park",Fort,1637,4,4.5,0,Yes,Thursday,Environmental,No,0.1,Morning
287,Western,Gujarat,Ahmedabad,Robinson Inc Fort,Lake,1951,1,3.7,100,Yes,Wednesday,Cultural,Yes,1,Morning
288,Central,Madhya Pradesh,Bhopal,Lopez and Sons Fort,Tomb,1583,3,4.3,0,Yes,Sunday,Architectural,No,4.1,Afternoon
289,Eastern,Odisha,Bhubaneswar,"Woods, Harper and Roberts Park",Sanctuary,1803,1,3.8,10,Yes,Friday,Religious,No,1.5,Winter
290,Southern,Tamil Nadu,Chennai,Fleming Group Museum,Lake,1746,5,4,100,Yes,Friday,Architectural,Yes,4.2,Afternoon
291,Southern,Kerala,Kochi,Perez-Carter Fort,Museum,1591,5,4.7,20,Yes,Sunday,Historical,No,0.9,Summer
292,Central,Madhya Pradesh,Bhopal,Bryant and Sons Fort,Lake,1829,3,4.8,10,Yes,Saturday,Environmental,Yes,2.1,Afternoon
293,North-Eastern,Assam,Guwahati,"Johnson, Tucker and Singh Temple",Tomb,1828,5,3.7,50,Yes,Saturday,Environmental,Yes,5,Morning
294,North-Eastern,Meghalaya,Shillong,Ferguson-Young Temple,Temple,1668,4,4.8,10,Yes,Thursday,Environmental,No,1.4,Morning
295,Northern,Punjab,Amritsar,Johnson-Smith Fort,Fort,1957,6,3.9,0,No,None,Natural,Yes,4.4,Afternoon
296,Western,Gujarat,Ahmedabad,"Craig, Hill and Burke Park",War Memorial,1759,1,4.9,20,Yes,None,Environmental,Yes,4.3,Summer
297,Southern,Kerala,Kochi,Wagner-Kelley Fort,Museum,1991,1,4.3,20,Yes,Tuesday,Religious,Yes,0.5,Afternoon
298,Northern,Delhi,Delhi,Lee and Sons Fort,Museum,1605,6,3.8,100,Yes,Sunday,Religious,Yes,2,Evening
299,Western,Rajasthan,Jaipur,Perez-Carroll Fort,Temple,1602,6,3.9,10,Yes,Friday,Environmental,No,4.6,Summer
300,Northern,Uttar Pradesh,Agra,Lopez Inc Park,Theme Park,1659,6,4.8,30,Yes,Monday,Environmental,No,3.5,Morning
301,Northern,Delhi,Delhi,Foster Inc Fort,Temple,1928,4,3.8,30,Yes,Wednesday,Historical,No,4.3,Morning
302,North-Eastern,Assam,Guwahati,Taylor-Green Park,Fort,1662,3,4.8,30,Yes,Wednesday,Architectural,No,2.6,Winter
303,North-Eastern,Assam,Guwahati,"Mccarty, Fletcher and Perkins Memorial",Theme Park,1604,4,3.9,100,Yes,Monday,Religious,Yes,0.6,Winter
304,Central,Madhya Pradesh,Bhopal,Rodgers-Davis Memorial,War Memorial,1929,6,4.1,30,Yes,None,Architectural,Yes,3.7,Afternoon
305,Southern,Karnataka,Bengaluru,"Aguirre, Evans and Johnson Park",Lake,2005,5,4.2,20,Yes,None,Religious,No,2.8,Summer
306,Eastern,Odisha,Bhubaneswar,Miller LLC Fort,Fort,1835,5,4.2,30,Yes,Monday,Historical,Yes,2.5,Afternoon
307,Western,Rajasthan,Jaipur,Daniels Ltd Park,Lake,1586,4,4.3,100,Yes,Tuesday,Natural,Yes,4.2,Afternoon
308,North-Eastern,Meghalaya,Shillong,Matthews-King Temple,Tomb,1672,3,4.6,10,Yes,Friday,Historical,Yes,4.8,Morning
309,Western,Gujarat,Ahmedabad,Alvarez Group Fort,Lake,1880,5,4,0,Yes,None,Natural,Yes,3.7,Afternoon
310,Western,Rajasthan,Jaipur,"Frazier, Mcmahon and Cole Memorial",Temple,1509,4,3.9,0,Yes,Saturday,Historical,No,2.3,Morning
311,North-Eastern,Assam,Guwahati,"Love, Schmidt and Rivera Fort",Fort,1508,2,4.1,20,Yes,Thursday,Environmental,No,0.6,Summer
312,Northern,Punjab,Amritsar,"Bartlett, Wood and Anderson Memorial",Fort,1503,5,4.9,50,Yes,Wednesday,Environmental,Yes,4.5,Morning
313,Central,Madhya Pradesh,Bhopal,"Smith, Ellison and Bean Park",Zoo,1524,1,4.9,0,Yes,Thursday,Religious,Yes,3.6,Summer
314,North-Eastern,Assam,Guwahati,Blake PLC Memorial,Museum,1965,5,4.6,0,Yes,Saturday,Religious,Yes,2.7,Summer
315,Eastern,Odisha,Bhubaneswar,Stewart-Baldwin Memorial,Lake,1902,3,4,30,Yes,Monday,Cultural,Yes,3.8,Summer
316,Southern,Tamil Nadu,Chennai,White LLC Park,Fort,1795,2,3.8,100,Yes,Monday,Architectural,No,4.7,Evening
317,Western,Maharashtra,Mumbai,Anderson-Williams Memorial,Tomb,1626,6,4.3,30,Yes,Monday,Environmental,Yes,0,Evening
318,Northern,Punjab,Amritsar,"Acevedo, Dillon and Miller Fort",Fort,1526,3,4.4,100,Yes,Friday,Environmental,No,2.2,Evening
319,Central,Madhya Pradesh,Bhopal,Gonzales Inc Park,Sanctuary,1748,6,3.7,50,Yes,Friday,Architectural,No,4.5,Afternoon
320,Northern,Delhi,Delhi,"Kennedy, Singh and Meyer Fort",Lake,1616,4,4.9,10,Yes,Wednesday,Natural,No,1.4,Winter
321,Northern,Delhi,Delhi,Marshall Ltd Fort,Fort,1529,1,4.4,20,No,Monday,Religious,Yes,4.3,Winter
322,North-Eastern,Assam,Guwahati,"Ellis, Bailey and Holland Park",Fort,1962,1,4.2,100,Yes,Thursday,Architectural,Yes,3.1,Afternoon
323,Southern,Tamil Nadu,Chennai,Hall LLC Temple,Temple,1694,3,4.6,100,Yes,Wednesday,Environmental,No,2.1,Summer
324,North-Eastern,Assam,Guwahati,Miles Ltd Museum,Theme Park,1833,2,4.4,0,Yes,Monday,Religious,Yes,2.7,Morning
325,Southern,Karnataka,Bengaluru,"Hunter, Sanders and Johnson Fort",Fort,1907,4,4.5,20,No,Sunday,Architectural,Yes,2.8,Evening
326,Eastern,West Bengal,Kolkata,"Barrera, Cox and Davis Fort",Zoo,1866,6,3.5,100,Yes,Monday,Religious,Yes,5,Morning
327,North-Eastern,Assam,Guwahati,Kirby and Sons Park,Museum,1933,4,4.9,10,Yes,Sunday,Natural,Yes,0.7,Winter
328,North-Eastern,Meghalaya,Shillong,"Gray, Romero and Henry Fort",Lake,1657,5,4.1,10,Yes,Wednesday,Natural,Yes,0.3,Morning
329,Northern,Punjab,Amritsar,Brown LLC Museum,Museum,1743,3,4.6,30,Yes,Thursday,Natural,Yes,2.1,Summer
330,North-Eastern,Assam,Guwahati,"Lara, Carrillo and Scott Memorial",Temple,1697,1,4.6,20,No,Saturday,Cultural,No,2.7,Evening
331,Western,Gujarat,Ahmedabad,Petersen-Ortega Temple,Zoo,1732,2,3.7,20,Yes,Friday,Environmental,No,1.2,Afternoon
332,Northern,Punjab,Amritsar,Weaver Group Park,Theme Park,1847,4,3.5,10,Yes,Monday,Environmental,No,4.2,Summer
333,Central,Madhya Pradesh,Bhopal,Martinez and Sons Museum,Sanctuary,1835,4,4.6,20,Yes,Sunday,Environmental,No,3.4,Afternoon
334,North-Eastern,Meghalaya,Shillong,"Lowe, Moody and Dickson Fort",Hill Station,1883,1,3.7,50,Yes,Wednesday,Architectural,Yes,0.8,Afternoon
335,North-Eastern,Assam,Guwahati,Carpenter Group Memorial,Lake,1745,6,3.7,100,No,Friday,Architectural,Yes,3.2,Afternoon
336,North-Eastern,Meghalaya,Shillong,Warren PLC Temple,Temple,1522,3,3.7,10,Yes,Thursday,Environmental,No,0.6,Summer
337,Eastern,West Bengal,Kolkata,Fitzgerald Group Park,War Memorial,1828,6,4.5,100,Yes,Tuesday,Historical,No,3.7,Afternoon
338,Northern,Punjab,Amritsar,Garza-Clark Museum,War Memorial,1776,6,4.8,0,Yes,Thursday,Cultural,Yes,0.9,Afternoon
339,Northern,Delhi,Delhi,Ray LLC Museum,Museum,1993,1,4.3,20,Yes,None,Historical,No,5,Summer
340,Eastern,West Bengal,Kolkata,Shea Group Temple,Fort,1937,4,4.5,50,Yes,Tuesday,Historical,Yes,1.2,Evening
341,North-Eastern,Assam,Guwahati,Carrillo-Moore Fort,Lake,1638,4,4.4,10,Yes,Monday,Natural,Yes,4.4,Afternoon
342,North-Eastern,Assam,Guwahati,Murray PLC Memorial,Fort,1754,2,4.6,100,Yes,Thursday,Natural,Yes,1.3,Morning
343,Southern,Kerala,Kochi,Guerrero-Peck Memorial,Zoo,1590,4,3.9,10,Yes,Sunday,Historical,Yes,3.2,Summer
344,Northern,Uttar Pradesh,Agra,Fitzpatrick-Powell Park,Lake,1680,5,3.8,100,Yes,Wednesday,Natural,No,4.2,Winter
345,Northern,Punjab,Amritsar,Flynn-Ferguson Museum,Fort,1519,3,3.8,20,Yes,Wednesday,Natural,Yes,1.1,Summer
346,Central,Madhya Pradesh,Bhopal,"Sanchez, Cervantes and Smith Memorial",Tomb,1676,2,4.9,20,Yes,None,Historical,No,0.8,Evening
347,North-Eastern,Meghalaya,Shillong,"Leon, Jimenez and Silva Museum",War Memorial,1506,2,3.6,30,Yes,Wednesday,Cultural,No,1,Summer
348,Western,Gujarat,Ahmedabad,"Frazier, Griffin and Baldwin Fort",Hill Station,1803,3,4.5,100,Yes,Thursday,Historical,No,1.2,Afternoon
349,Northern,Punjab,Amritsar,Solomon LLC Museum,Hill Station,1951,1,4.4,0,Yes,Monday,Natural,Yes,2.5,Evening
350,Central,Madhya Pradesh,Bhopal,"Evans, Miller and Bennett Park",Museum,1594,6,4.9,10,Yes,Friday,Historical,Yes,3.5,Evening
351,Central,Madhya Pradesh,Bhopal,Butler Group Museum,Sanctuary,1547,4,3.8,50,Yes,Thursday,Historical,No,4.7,Afternoon
352,Eastern,Odisha,Bhubaneswar,Moran Group Memorial,Hill Station,1693,4,4.4,50,Yes,Tuesday,Architectural,Yes,2.7,Afternoon
353,Southern,Karnataka,Bengaluru,Knox-Tucker Park,Tomb,1878,4,4.6,100,Yes,Wednesday,Architectural,Yes,4.3,Morning
354,Western,Rajasthan,Jaipur,Johnson-Jones Museum,Fort,1702,2,4.3,100,No,Friday,Cultural,No,4.3,Evening
355,Eastern,West Bengal,Kolkata,Gallagher-Tucker Park,Museum,1584,6,5,20,Yes,Wednesday,Religious,Yes,2.1,Afternoon
356,Western,Maharashtra,Mumbai,Morris-Fowler Park,War Memorial,1633,6,3.7,20,Yes,Monday,Environmental,Yes,0.6,Summer
357,Central,Madhya Pradesh,Bhopal,Li-Cox Temple,Lake,1825,5,4.7,20,Yes,Friday,Cultural,Yes,0.7,Summer
358,Eastern,Odisha,Bhubaneswar,"Diaz, Smith and Morris Museum",Zoo,1910,5,4.5,30,Yes,Thursday,Natural,No,4.5,Evening
359,Northern,Delhi,Delhi,Anderson-Hoffman Temple,Zoo,1827,2,3.5,20,Yes,None,Historical,No,4.7,Winter
360,Northern,Uttar Pradesh,Agra,"Moore, Williams and Love Museum",Fort,1702,3,4.4,50,No,Wednesday,Natural,Yes,4.6,Morning
361,North-Eastern,Assam,Guwahati,"Diaz, Aguirre and Montoya Park",Tomb,1991,5,4.3,0,Yes,Thursday,Religious,No,1.9,Winter
362,Eastern,Odisha,Bhubaneswar,"Fisher, Brewer and Mccoy Fort",Zoo,1551,6,4.7,20,Yes,Sunday,Environmental,Yes,1.5,Winter
363,North-Eastern,Meghalaya,Shillong,Horn-Sutton Temple,Tomb,2004,6,3.9,0,Yes,Friday,Cultural,No,2,Morning
364,Western,Gujarat,Ahmedabad,"Goodwin, Smith and Thomas Fort",War Memorial,2004,2,4.1,20,Yes,Saturday,Environmental,No,2.4,Evening
365,Western,Gujarat,Ahmedabad,Jones Ltd Park,Lake,1503,2,4.1,50,Yes,Friday,Natural,No,3.4,Evening
366,Western,Gujarat,Ahmedabad,"Barrera, Knight and Smith Memorial",Hill Station,1949,1,4,100,No,None,Religious,No,1.5,Morning
367,Western,Maharashtra,Mumbai,"Cowan, Miller and Smith Temple",Sanctuary,1583,5,4.8,100,Yes,Friday,Environmental,No,5,Evening
368,Western,Gujarat,Ahmedabad,Moody-Walker Museum,Sanctuary,1808,6,5,10,Yes,Thursday,Architectural,No,2.3,Afternoon
369,Eastern,West Bengal,Kolkata,Norris Inc Memorial,Lake,1663,6,4.4,50,Yes,Thursday,Historical,Yes,3.7,Evening
370,Northern,Punjab,Amritsar,Miller-Torres Temple,Tomb,1759,6,4.8,20,Yes,Saturday,Natural,No,3.3,Morning
371,North-Eastern,Meghalaya,Shillong,Austin Inc Memorial,War Memorial,1832,1,3.6,30,Yes,Friday,Religious,No,0.6,Summer
372,Central,Madhya Pradesh,Bhopal,Murray-Mcknight Temple,Lake,1709,5,4.3,100,Yes,Sunday,Environmental,Yes,1,Summer
373,Central,Madhya Pradesh,Bhopal,"Davis, Young and Gonzalez Museum",Theme Park,1846,2,3.6,10,Yes,Tuesday,Environmental,Yes,1,Summer
374,Northern,Punjab,Amritsar,Whitaker-Wallace Memorial,Temple,1626,2,4.2,100,Yes,Saturday,Environmental,Yes,3.4,Afternoon
375,Eastern,Odisha,Bhubaneswar,Ramirez Group Museum,Theme Park,1519,4,4.3,0,Yes,Monday,Natural,Yes,0.8,Morning
376,North-Eastern,Assam,Guwahati,Stone-Spencer Park,Hill Station,1853,2,4,100,Yes,Wednesday,Religious,Yes,1.9,Winter
377,Western,Gujarat,Ahmedabad,Brandt-Richards Memorial,Fort,1818,4,3.8,10,Yes,Friday,Environmental,Yes,4.3,Winter
378,Northern,Delhi,Delhi,Booth-Mcconnell Park,Museum,1840,2,4.6,100,No,Saturday,Environmental,No,4.8,Morning
379,Eastern,West Bengal,Kolkata,Osborne-Williams Park,Fort,1825,3,4.8,30,Yes,None,Natural,No,2.9,Evening
